# tempo_detrend fluxo_detrend
1331.259719 1.000457
1331.261108 0.999991
1331.262497 1.000240
1331.263886 1.000126
1331.265274 1.000141
1331.266663 1.000080
1331.268052 1.000348
1331.269441 0.999609
1331.270830 1.000418
1331.272219 0.999625
1331.273608 1.000090
1331.274997 1.000098
1331.276386 1.000476
1331.277774 0.999805
1331.279163 0.999755
1331.280552 1.000877
1331.281941 0.999809
1331.283330 0.999905
1331.284719 0.999555
1331.286108 1.000597
1331.287497 1.000092
1331.288885 1.000424
1331.290274 0.999684
1331.291663 0.999637
1331.293052 1.000549
1331.294441 1.000065
1331.295830 1.000120
1331.297219 1.000076
1331.298608 0.999456
1331.299997 1.000035
1331.301385 0.999884
1331.302774 0.999212
1331.304163 0.999822
1331.305552 0.999503
1331.306941 1.000262
1331.308330 1.000022
1331.309719 1.000180
1331.311108 0.999891
1331.312496 0.999579
1331.313885 0.999862
1331.315274 0.999699
1331.316663 0.999735
1331.318052 0.999672
1331.319441 1.000340
1331.320830 1.000141
1331.322219 1.000296
1331.323608 1.000131
1331.324996 0.999684
1331.326385 0.999972
1331.327774 0.999504
1331.329163 1.000512
1331.330552 0.999660
1331.331941 1.000497
1331.333330 1.000002
1331.334719 1.000066
1331.336107 0.999536
1331.338885 0.998998
1331.340274 1.000043
1331.341663 1.000084
1331.343052 0.999802
1331.344441 1.000080
1331.345830 1.000110
1331.347219 0.999477
1331.348607 0.999645
1331.349996 0.999912
1331.351385 0.999512
1331.352774 0.999368
1331.354163 0.999620
1331.355552 0.999748
1331.356941 0.999560
1331.358330 0.999439
1331.359718 0.999522
1331.361107 0.999260
1331.362496 0.999411
1331.363885 0.999382
1331.365274 0.999281
1331.366663 0.999781
1331.368052 0.999667
1331.369441 0.999515
1331.372218 0.998873
1331.373607 0.999431
1331.376385 0.998804
1331.377774 0.999506
1331.379163 0.999728
1331.380552 0.999920
1331.381941 0.999695
1331.383329 0.999465
1331.384718 0.999895
1331.386107 0.999907
1331.387496 0.999671
1331.388885 0.999599
1331.390274 1.000191
1331.391663 1.000660
1331.393052 1.000379
1331.394441 1.000718
1331.395829 1.000588
1331.397218 1.001509
1331.398607 1.001527
1331.399996 1.001199
1331.401385 1.001072
1331.402774 1.000865
1331.404163 1.000913
1331.405552 1.000344
1331.406940 1.000931
1331.408329 1.000690
1331.409718 1.000028
1331.411107 1.000453
1331.412496 1.000447
1331.413885 1.000037
1331.415274 0.999731
1331.416663 1.000182
1331.418052 1.000306
1331.419440 0.999916
1331.420829 1.000616
1331.422218 1.000246
1331.423607 0.999993
1331.424996 0.999916
1331.426385 0.999692
1331.427774 0.999645
1331.429163 0.999516
1331.430551 1.000755
1331.431940 1.000693
1331.433329 1.000128
1331.434718 0.999840
1331.436107 1.000067
1331.437496 1.000429
1331.438885 0.999980
1331.440274 1.000211
1331.441663 1.000017
1331.443051 1.000028
1331.444440 0.999111
1331.445829 0.999753
1331.447218 1.000171
1331.448607 1.000950
1331.449996 1.000852
1331.451385 1.000705
1331.452774 1.000825
1331.454162 1.000488
1331.455551 1.000484
1331.456940 1.000571
1331.458329 1.000936
1331.459718 0.999998
1331.461107 1.000316
1331.462496 1.000257
1331.463885 1.000440
1331.465274 1.000515
1331.466662 1.000188
1331.468051 1.000036
1331.469440 0.999704
1331.470829 1.000347
1331.472218 1.000193
1331.473607 0.999800
1331.474996 0.999999
1331.476385 0.999669
1331.477773 0.999959
1331.479162 0.999372
1331.480551 0.999879
1331.481940 1.000338
1331.483329 1.000227
1331.484718 1.000525
1331.486107 0.999655
1331.487496 0.999996
1331.488885 1.000420
1331.490273 1.000064
1331.491662 1.000251
1331.493051 0.999223
1331.494440 0.999786
1331.495829 0.999831
1331.497218 1.000133
1331.498607 0.999365
1331.499996 0.999449
1331.501384 1.000069
1331.502773 1.000574
1331.504162 0.999488
1331.505551 0.999773
1331.506940 0.999588
1331.508329 1.000041
1331.509718 0.999736
1331.511107 0.999530
1331.512496 0.998952
1331.515273 0.999972
1331.516662 0.998909
1331.518051 1.000190
1331.520829 1.000014
1331.522218 1.000225
1331.523607 1.000213
1331.524995 0.999723
1331.526384 0.999523
1331.527773 0.999976
1331.529162 0.999474
1331.530551 1.000573
1331.531940 0.999598
1331.533329 1.000243
1331.534718 1.000538
1331.536106 1.000295
1331.537495 0.999789
1331.538884 1.000556
1331.540273 1.000042
1331.541662 0.999956
1331.543051 0.999818
1331.544440 1.000022
1331.545829 0.999640
1331.547218 0.999470
1331.548606 0.999548
1331.549995 0.999549
1331.551384 1.000031
1331.552773 1.000149
1331.554162 1.000013
1331.555551 0.999087
1331.556940 1.000420
1331.558329 0.999122
1331.563884 0.999006
1331.565273 0.999463
1331.566662 0.999941
1331.569440 1.000431
1331.572217 1.000003
1331.573606 0.999658
1331.574995 0.999850
1331.576384 0.999824
1331.577773 0.999981
1331.579162 0.999973
1331.580551 1.000313
1331.581940 1.000113
1331.583328 0.999669
