banda,bjd_tdb,fluxo,erro,base,fluxo_corrigido
g,2461275.738956036,1.000851651545868,0.0007816161422010072,0.9980294392375152,1.002827784629789
g,2461275.7399874926,0.9996581203401147,0.0011820338282243876,0.9981197225595558,1.0015412958443641
g,2461275.7410191237,0.9993005473537083,0.0012056266576698257,0.9982134005396174,1.001089092586318
g,2461275.7420739643,0.9991801025752599,0.0012589823510111748,0.9983127727580812,1.0008687956729057
g,2461275.7431017305,0.9991216959810902,0.0015787786045802761,0.9984131739302945,1.000709648138963
g,2461275.7441297797,0.9997814550716699,0.0009766316641464184,0.998517226092584,1.001266106328514
g,2461275.745189223,0.9997752230112968,0.0007318056416501083,0.9986283481021607,1.0011484501830092
g,2461275.746220589,0.9995658888439198,0.0009040834936348151,0.9987404208771299,1.0008265090202968
g,2461275.747247054,0.9994843796056286,0.0011723273730981307,0.9988558781289659,1.0006292213826082
g,2461275.7483020336,1.0034747086348972,0.0016945679160949422,0.9989787278768892,1.0045005770719093
g,2461275.7493603765,1.001718699598157,0.0012709772166882183,0.9991063463557307,1.002614689869557
g,2461275.750389579,1.0005446516728869,0.0015883231762203929,0.9992347732709016,1.0013108815235658
g,2461275.751422857,0.9997570054051571,0.0014826814698884823,0.9993681188981496,1.0003891323924123
g,2461275.752480365,1.0016002401539204,0.0013164462427408543,0.9995092845734224,1.0020919821484104
g,2461275.7534838193,1.000586275040349,0.0011248176289724867,0.9996477586013767,1.000938847139802
