# AU Mic b - todos os transitos extraidos dos setores 1 e 27
# T0_ref=1330.390510  P_ref=8.4631516  janela=+/-0.25 d  N_transitos=5  N_pontos=1739
# tempo_BTJD  dt_dias  fluxo_residual  fluxo_normalizado  epoca  setor
1347.15802839 -0.15878481 0.99885971 0.99913360 2 12018
1347.15941724 -0.15739596 1.00048655 1.00076088 2 12018
1347.16080608 -0.15600712 0.99947106 0.99974512 2 12018
1347.16219493 -0.15461827 1.00015198 1.00042622 2 12018
1347.16358377 -0.15322943 0.99959785 0.99987194 2 12018
1347.16497262 -0.15184058 1.00047283 1.00074715 2 12018
1347.16636147 -0.15045173 0.99942572 0.99969976 2 12018
1347.16775031 -0.14906289 0.99998249 1.00025668 2 12018
1347.16913916 -0.14767404 0.99953702 0.99981109 2 12018
1347.17052800 -0.14628520 0.99981462 1.00008877 2 12018
1347.17191685 -0.14489635 1.00009039 1.00036461 2 12018
1347.17330570 -0.14350750 0.99931172 0.99958573 2 12018
1347.17469454 -0.14211866 1.00098007 1.00125453 2 12018
1347.17608339 -0.14072981 1.00009865 1.00037287 2 12018
1347.17747223 -0.13934097 0.99957362 0.99984770 2 12018
1347.17886108 -0.13795212 0.99915314 0.99942710 2 12018
1347.18024993 -0.13656327 1.00120003 1.00147455 2 12018
1347.18163877 -0.13517443 0.99967047 0.99994457 2 12018
