# tempo_BTJD  residuo_normalizado
3884.23873840  1.00085509
3884.24012729  1.00096283
3884.24151619  1.00099078
3884.24290508  1.00012121
3884.24429398  1.00054253
3884.24568287  1.00019737
3884.24707177  1.00104707
3884.24846066  1.00058417
3884.24984956  1.00025056
3884.25123845  1.00014581
3884.25262735  1.00110882
3884.25401624  1.00134524
3884.25540514  1.00038148
3884.25679403  1.00071592
3884.25818293  1.00063437
3884.25957182  1.00026596
3884.26096071  1.00020673
3884.26234961  1.00059884
3884.26373850  1.00012470
3884.26512740  1.00038291
3884.26651629  1.00032374
3884.26790519  1.00034363
3884.26929408  0.99997285
3884.27068298  0.99974748
3884.27207187  0.99989058
3884.27346076  1.00002064
3884.27484966  1.00012938
3884.27623855  0.99958141
3884.27762745  0.99984585
3884.27901634  0.99975062
3884.28040524  1.00027835
3884.28179413  0.99981245
3884.28318303  1.00026364
3884.28457192  1.00025709
3884.28596082  1.00021473
3884.28734971  1.00008939
3884.28873860  0.99971432
3884.29012750  0.99971315
3884.29151639  0.99942840
3884.29290529  1.00054357
3884.29429418  1.00009503
3884.29568308  0.99965875
3884.29707197  1.00030724
3884.29846087  1.00036723
3884.29984976  1.00010831
3884.30123865  0.99919545
3884.30262755  1.00011652
3884.30401644  1.00004384
3884.30540534  1.00011615
3884.30679423  0.99946729
3884.30818313  0.99994620
3884.30957202  0.99958785
3884.31096092  0.99973308
3884.31234981  0.99978743
3884.31373870  0.99911898
3884.31512760  0.99987042
3884.31651649  1.00050089
3884.31790539  0.99980413
3884.31929428  1.00037293
3884.32068318  1.00057538
3884.32207207  1.00005569
3884.32346096  1.00029147
3884.32484986  0.99970395
3884.32623875  1.00042912
3884.32762765  1.00018354
3884.32901654  0.99998473
3884.33040544  1.00026725
3884.33179433  1.00011205
3884.33318323  1.00002869
3884.33457212  0.99962213
3884.33596101  1.00048731
3884.33734991  0.99963925
3884.33873880  1.00041538
3884.34012770  0.99992081
3884.34151659  0.99962447
3884.34290549  1.00027477
3884.34429438  0.99986510
3884.34568327  0.99981159
3884.34707217  0.99989072
3884.34846106  0.99968870
3884.34984996  0.99927503
3884.35123885  1.00015002
3884.35262774  1.00031950
3884.35401664  0.99947921
3884.35540553  1.00030756
3884.35679443  0.99976969
3884.35818332  0.99956170
3884.35957222  1.00080768
3884.36096111  0.99955449
3884.36235000  1.00002462
3884.36373890  0.99944934
3884.36512779  1.00045238
3884.36651669  0.99973982
3884.36790558  0.99965248
3884.36929448  1.00018130
3884.37068337  1.00066014
3884.37207226  0.99987402
3884.37346116  0.99943674
3884.37485005  1.00051166
3884.37623895  1.00022318
3884.37762784  0.99963833
3884.37901673  1.00015302
3884.38040563  1.00008152
3884.38179452  1.00011234
3884.38318342  1.00004796
3884.38457231  0.99965240
3884.38596120  1.00000410
3884.38735010  1.00015158
3884.38873899  0.99970235
3884.39012789  1.00004260
3884.39151678  0.99995421
3884.39290568  1.00038835
3884.39429457  1.00005726
3884.39568346  0.99965415
3884.39707236  1.00075851
3884.39846125  1.00042224
3884.39985015  0.99990080
3884.40123904  0.99999416
3884.40262793  1.00056286
3884.40401683  0.99965516
3884.40540572  1.00004682
3884.40679462  1.00025318
3884.40818351  1.00007107
3884.40957240  1.00003364
3884.41096130  1.00031819
3884.41235019  0.99961309
3884.41373909  0.99955311
3884.41512798  1.00032715
3884.41651687  0.99998027
3884.41790577  1.00003896
3884.41929466  1.00022935
3884.42068356  1.00008862
3884.42207245  0.99979843
3884.42346134  1.00000268
3884.42485024  0.99971896
3884.42623913  1.00024955
3884.42762803  0.99929514
3884.42901692  0.99968257
3884.43040581  1.00053625
3884.43179471  0.99969546
3884.43318360  1.00017053
3884.43457249  0.99969354
3884.43596139  0.99967411
3884.43735028  1.00017593
3884.43873918  0.99996271
3884.44012807  1.00001922
3884.44151696  1.00024436
3884.44290586  1.00071366
3884.44429475  1.00069664
3884.44568365  0.99988189
3884.44707254  0.99912366
3884.44846143  0.99977556
3884.44985033  1.00012870
3884.45123922  1.00045822
3884.45262812  0.99952771
3884.45401701  0.99936696
3884.45540590  1.00004544
3884.45679480  0.99986068
3884.45818369  0.99984969
3884.45957258  0.99959272
3884.46096148  0.99978127
3884.46235037  0.99943502
3884.46373927  1.00010171
3884.46512816  1.00095761
3884.46651705  0.99997162
3884.46790595  0.99992610
3884.46929484  0.99938033
3884.47068373  0.99945262
3884.47207263  0.99988387
3884.47346152  0.99987228
3884.47485042  0.99963310
3884.47623931  1.00033518
3884.47762820  0.99950208
3884.47901710  1.00021031
3884.48040599  0.99950928
3884.48179488  0.99994485
3884.48318378  0.99942073
3884.48457267  0.99985662
3884.48596157  1.00032107
3884.48735046  0.99964861
3884.48873935  0.99974667
3884.49012825  0.99999294
